C	LocalizeRolesData
#	[0] Express:     , [1][2] Express: Type ( 01: No Battle, 02: Battle)  --  [3][4] Express: Primary Type ( 01: original,  02: Effects)  --  [5][6] Express: Secondary Type ( 01: Explosion,  02: Line,  03: Motion Trail)  --  [7][8][9][10] Express: Serial Number			
T	ulong	string	int	float
H	id	name	type	attack
I	编号	名称		
#	Character			
	10101010101	帝国使者_Z	1	110
	10101010102	帝国使者_Y	1	120
	10101010103	帝国使者_X	1	130
	10101010104	帝国使者_W	1	140
	10101010105	帝国使者_V	1	150
	10101010106	帝国使者_U	1	160
	10101010107	帝国使者_N	1	170
	10101010108	帝国使者_M	1	180
	10101010109	帝国使者_L	1	190
#	Enemy			
#				
	10101020101	噬魂_Z	1	11
	10101020102	噬魂_Y	1	12
	10101020103	噬魂_X	1	13
	10101020104	噬魂_W	1	14
	10101020105	噬魂_V	1	15
	10101020106	噬魂_U	1	16
	10101020107	噬魂_N	1	17
	10101020108	噬魂_M	1	18
	10101020109	噬魂_L	1	19
#				
	10101020201	伤心花_Z	1	21
	10101020202	伤心花_Y	1	22
	10101020203	伤心花_X	1	23
	10101020204	伤心花_W	1	24
	10101020205	伤心花_V	1	25
	10101020206	伤心花_U	1	26
	10101020207	伤心花_N	1	27
	10101020208	伤心花_M	1	28
	10101020209	伤心花_L	1	29
#				
	10101020301	天烺_Z	1	31
	10101020302	天烺_Y	1	32
	10101020303	天烺_X	1	33
	10101020304	天烺_W	1	34
	10101020305	天烺_V	1	35
	10101020306	天烺_U	1	36
	10101020307	天烺_N	1	37
	10101020308	天烺_M	1	38
	10101020309	天烺_L	1	39
#				
	10101020401	斩龙剑_Z	1	41
	10101020402	斩龙剑_Y	1	42
	10101020403	斩龙剑_X	1	43
	10101020404	斩龙剑_W	1	44
	10101020405	斩龙剑_V	1	45
	10101020406	斩龙剑_U	1	46
	10101020407	斩龙剑_N	1	47
	10101020408	斩龙剑_M	1	48
	10101020409	斩龙剑_L	1	49
